11-01-2019;47.84;46.58;45.74;43.81;46.24;46.46;51.29;60.53;60.02;62.92;61.58;60.6;51.89;50.8;45.46;42.2;45;51.51;48.59;49.2;44.99;44.93;46.4;43.46;47.24;45.88;44.61;42.9;42.03;39.33;42.98;41.23;42.12;45.1;44.27;44.18;42.05;38.61;37.76;33.03;35.84;44.24;46.29;40.05;38.15;30.26;40.2;30.89;23.35;12.4;19.01;23.51;23.25;20.01;20.8;22.14;23.68;25.05;26.3;30.81;27.06;8.5;-0.08;-0.01;-0.27;21.55;24.04;15.91;-0.02;-0.33;3.04;-7.28;-3.14;-12;-15.04;-11.09;-4.94;1.59;35.9;51.22;51.66;46.09;50.26;44.49;41.24;38.91;41.79;49.63;50.93;51.25;50.93;50.52;49.61;44.3;41.29;37.26;35.18;35.82;34.99;34.56;30.8;33.41;47.4;53.73;57.02;58.38;56.54;55;53.92;53.31;52.63;52.12;51;53.91;46.35;42.73;40.32;39.93;39.66;32.04;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07
12-01-2019;47.24;45.88;44.61;42.9;42.03;39.33;42.98;41.23;42.12;45.1;44.27;44.18;42.05;38.61;37.76;33.03;35.84;44.24;46.29;40.05;38.15;30.26;40.2;30.89;23.35;12.4;19.01;23.51;23.25;20.01;20.8;22.14;23.68;25.05;26.3;30.81;27.06;8.5;-0.08;-0.01;-0.27;21.55;24.04;15.91;-0.02;-0.33;3.04;-7.28;-3.14;-12;-15.04;-11.09;-4.94;1.59;35.9;51.22;51.66;46.09;50.26;44.49;41.24;38.91;41.79;49.63;50.93;51.25;50.93;50.52;49.61;44.3;41.29;37.26;35.18;35.82;34.99;34.56;30.8;33.41;47.4;53.73;57.02;58.38;56.54;55;53.92;53.31;52.63;52.12;51;53.91;46.35;42.73;40.32;39.93;39.66;32.04;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93
13-01-2019;23.35;12.4;19.01;23.51;23.25;20.01;20.8;22.14;23.68;25.05;26.3;30.81;27.06;8.5;-0.08;-0.01;-0.27;21.55;24.04;15.91;-0.02;-0.33;3.04;-7.28;-3.14;-12;-15.04;-11.09;-4.94;1.59;35.9;51.22;51.66;46.09;50.26;44.49;41.24;38.91;41.79;49.63;50.93;51.25;50.93;50.52;49.61;44.3;41.29;37.26;35.18;35.82;34.99;34.56;30.8;33.41;47.4;53.73;57.02;58.38;56.54;55;53.92;53.31;52.63;52.12;51;53.91;46.35;42.73;40.32;39.93;39.66;32.04;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72
14-01-2019;-3.14;-12;-15.04;-11.09;-4.94;1.59;35.9;51.22;51.66;46.09;50.26;44.49;41.24;38.91;41.79;49.63;50.93;51.25;50.93;50.52;49.61;44.3;41.29;37.26;35.18;35.82;34.99;34.56;30.8;33.41;47.4;53.73;57.02;58.38;56.54;55;53.92;53.31;52.63;52.12;51;53.91;46.35;42.73;40.32;39.93;39.66;32.04;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59
15-01-2019;35.18;35.82;34.99;34.56;30.8;33.41;47.4;53.73;57.02;58.38;56.54;55;53.92;53.31;52.63;52.12;51;53.91;46.35;42.73;40.32;39.93;39.66;32.04;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79
16-01-2019;29.23;29.26;32.64;32.41;33.06;33.22;46.63;53.8;55.73;53.83;54.22;54.92;53.65;52.69;53.55;53.72;54.83;54.01;52.67;50.92;39.81;39.29;39.91;30.77;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9
17-01-2019;26.35;25.23;22.77;24.02;25.63;28.06;35.38;46.04;49.96;50.56;46.1;46.02;43.94;46.64;55;55.9;57.43;58.72;55.06;53.85;49.52;42.35;42.44;41.11;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75
18-01-2019;42.26;40.91;43.77;45.05;47.89;49.79;54.77;73.08;76.86;74.32;70.51;69.02;68.94;65.27;67.44;68.14;69;75.04;76.13;72.46;61.83;59.24;56.7;53.16;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81
19-01-2019;52.47;53.18;54.73;51.15;52.25;50.93;49.04;50.56;55.71;56.62;63.13;57.33;55.26;54.38;52.55;55.41;62.93;67.15;68.91;57.37;54.61;52.32;51.53;49.8;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91
20-01-2019;47.74;47.01;48.8;48.9;49.63;49.53;46.69;46.76;50.88;52.38;50.07;49.33;48.98;47.4;53.2;55.39;58.02;66.68;69.43;69.75;67.83;57.37;59.56;52.07;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91;44.87;48.07;47.49;44.59;45.97;46.46;55.82;67.67;72.8;70.63;70.38;67.51;64.03;63.84;66.56;66;69.33;71.45;72.82;69.81;59.51;55.74;53.83;49.34
21-01-2019;55.54;53.02;52.1;51.31;51.14;53.23;67.16;79.62;88.06;86.01;80.04;75;70.65;71.56;72.03;76.49;81.08;88.35;88.5;79.93;73.69;68.34;59.83;54.93;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91;44.87;48.07;47.49;44.59;45.97;46.46;55.82;67.67;72.8;70.63;70.38;67.51;64.03;63.84;66.56;66;69.33;71.45;72.82;69.81;59.51;55.74;53.83;49.34;46.52;46.36;45.1;42.85;42.74;46.34;52.09;64.99;68.17;66.76;59.06;53.03;54.19;49.7;53.56;49.37;52.65;60.49;62.53;59.28;50.02;51.01;50.08;46.86
22-01-2019;54.19;54.05;53.52;51.97;51.96;52.03;62.33;73.91;80.23;76.6;74.19;70.06;62.07;58.45;59.69;65.09;70.21;78.8;74.13;64.46;58.34;55.38;56.59;53.72;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91;44.87;48.07;47.49;44.59;45.97;46.46;55.82;67.67;72.8;70.63;70.38;67.51;64.03;63.84;66.56;66;69.33;71.45;72.82;69.81;59.51;55.74;53.83;49.34;46.52;46.36;45.1;42.85;42.74;46.34;52.09;64.99;68.17;66.76;59.06;53.03;54.19;49.7;53.56;49.37;52.65;60.49;62.53;59.28;50.02;51.01;50.08;46.86;47.17;45.47;45.43;46.82;45.08;48.7;62.41;71.7;78.49;69.08;67.35;67.94;66.81;66.22;66.16;66.16;65.35;66.68;66.98;65.4;59.9;52.84;51.36;46.72
23-01-2019;53.2;53.92;53.11;51.19;51.02;55.05;63.96;82.55;92.15;93.65;91.93;88.07;84.96;83.99;85.59;86.87;84.96;90.01;93.76;90.54;78.49;68.93;65.1;59;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91;44.87;48.07;47.49;44.59;45.97;46.46;55.82;67.67;72.8;70.63;70.38;67.51;64.03;63.84;66.56;66;69.33;71.45;72.82;69.81;59.51;55.74;53.83;49.34;46.52;46.36;45.1;42.85;42.74;46.34;52.09;64.99;68.17;66.76;59.06;53.03;54.19;49.7;53.56;49.37;52.65;60.49;62.53;59.28;50.02;51.01;50.08;46.86;47.17;45.47;45.43;46.82;45.08;48.7;62.41;71.7;78.49;69.08;67.35;67.94;66.81;66.22;66.16;66.16;65.35;66.68;66.98;65.4;59.9;52.84;51.36;46.72;43.55;45.47;43.1;41.1;41.51;45.76;47.72;54.04;56.66;55.93;55.51;56.9;58.51;64;64.93;64.55;63.91;67.71;69.98;67.34;62.99;55.32;54.01;50.92
24-01-2019;61.88;59.08;57.9;56.37;56.95;61.53;75.98;99.07;113.07;111.23;108.25;103.69;98.33;92.63;89.86;90.45;95.01;106.82;121.46;102.06;89.34;74.43;69.92;63.79;64.63;60.64;57.8;55.44;55.28;58.98;71.1;84.48;97;93.64;85;78;71.81;69.87;68.64;65.58;65.08;70.87;71.74;58.51;50.78;51.12;47.16;42.9;44.29;42.61;42.51;41.96;41.65;40.72;41.53;42.36;51.37;56.28;58.62;59.18;56.72;57.44;53.32;52.8;52.44;55.95;57.92;53.78;47.98;44.99;43.9;37.75;28.42;24.48;19.98;18.13;13.61;15.34;3.65;24.47;27.04;32.97;39.06;44.05;46.86;42.97;41.18;40.5;41.18;47.25;52.64;52.96;50.44;47.74;50.82;44.81;42.4;40.97;40.42;37.8;38.09;41.83;53.09;64.04;64.88;62.2;58.38;55.92;55.12;51.36;48.63;47.34;48.83;60.83;59.64;54.37;47.54;45.69;46.36;43.91;44.87;48.07;47.49;44.59;45.97;46.46;55.82;67.67;72.8;70.63;70.38;67.51;64.03;63.84;66.56;66;69.33;71.45;72.82;69.81;59.51;55.74;53.83;49.34;46.52;46.36;45.1;42.85;42.74;46.34;52.09;64.99;68.17;66.76;59.06;53.03;54.19;49.7;53.56;49.37;52.65;60.49;62.53;59.28;50.02;51.01;50.08;46.86;47.17;45.47;45.43;46.82;45.08;48.7;62.41;71.7;78.49;69.08;67.35;67.94;66.81;66.22;66.16;66.16;65.35;66.68;66.98;65.4;59.9;52.84;51.36;46.72;43.55;45.47;43.1;41.1;41.51;45.76;47.72;54.04;56.66;55.93;55.51;56.9;58.51;64;64.93;64.55;63.91;67.71;69.98;67.34;62.99;55.32;54.01;50.92;50.04;47.07;45.7;43.14;42.71;42.6;43.47;47.68;51.47;55.79;59.5;59.15;56.08;50.33;49.09;48.6;49.39;56.86;57.91;54.59;50.43;48.48;48.49;46.06
